Order ID,Order Date,Customer Name,Product,Category,Quantity,Price,Sales,City,Payment Method
10001,2025-05-21,Customer_63,Smartphone,Electronics,1,25000,25000,,Cash
10002,2025-02-14,Customer_152,Smartphone,Electronics,5,25000,125000,Trichy,UPI
10003,2025-04-22,Customer_60,Laptop,Electronics,1,55000,55000,Salem,UPI
10004,2025-11-29,Customer_180,Watch,Accessories,2,3000,6000,Salem,Net Banking
10005,2025-10-29,Customer_72,Keyboard,Accessories,4,1200,4800,Chennai,Cash
10006,2025-05-23,Customer_40,T-Shirt,Fashion,3,700,2100,Coimbatore,Card
10007,2025-07-14,Customer_25,Smartphone,Electronics,1,25000,25000,Madurai,Card
10008,2025-01-23,Customer_187,Books,Education,3,500,1500,Trichy,UPI
10009,2025-10-10,Customer_76,T-Shirt,Fashion,1,700,700,Erode,Card
10010,2025-12-27,Customer_18,Books,Education,2,500,1000,Chennai,Cash
10011,2025-04-30,Customer_222,Mouse,Accessories,1,800,800,Chennai,Net Banking
10012,2025-11-22,Customer_214,Mouse,Accessories,4,800,3200,Madurai,Cash
10013,2025-04-18,Customer_172,Shoes,Fashion,3,1800,5400,Madurai,UPI
10014,2025-10-01,Customer_187,Books,Education,2,500,1000,Coimbatore,Cash
10015,2025-05-19,Customer_237,Backpack,Bags,4,1500,6000,Erode,Cash
10016,2025-04-28,Customer_211,Shoes,Fashion,1,1800,1800,Chennai,Card
10017,2025-02-03,Customer_55,T-Shirt,Fashion,3,700,2100,Salem,Card
10018,2025-07-22,Customer_227,Keyboard,Accessories,4,1200,4800,Erode,Net Banking
10019,2025-03-13,Customer_64,Headphones,Electronics,3,2000,6000,Erode,Card
10020,2025-10-26,Customer_103,Books,Education,4,500,2000,,Cash
10021,2025-09-10,Customer_24,Headphones,Electronics,5,2000,10000,Chennai,UPI
10022,2025-12-15,Customer_109,Headphones,Electronics,2,2000,4000,Salem,UPI
10023,2025-11-02,Customer_120,T-Shirt,Fashion,4,700,2800,Salem,Card
10024,2025-12-15,Customer_185,Watch,Accessories,1,3000,3000,Chennai,Card
10025,2025-05-31,Customer_112,Shoes,Fashion,1,1800,1800,Coimbatore,Net Banking
10026,2025-09-14,Customer_196,Laptop,Electronics,3,55000,165000,Coimbatore,UPI
10027,2025-11-08,Customer_51,Mouse,Accessories,5,800,4000,Coimbatore,Card
10028,2025-09-29,Customer_236,Headphones,Electronics,5,2000,10000,Chennai,Card
10029,2025-02-27,Customer_238,Backpack,Bags,1,1500,1500,Madurai,Card
10030,2025-05-04,Customer_225,Keyboard,Accessories,1,1200,1200,Salem,UPI
10031,2025-02-05,Customer_195,Smartphone,Electronics,4,25000,100000,Salem,Cash
10032,2025-10-09,Customer_43,Headphones,Electronics,4,2000,8000,Madurai,Net Banking
10033,2025-12-20,Customer_52,Keyboard,Accessories,5,1200,6000,Erode,Card
10034,2025-08-13,Customer_231,T-Shirt,Fashion,3,700,2100,Salem,Net Banking
10035,2025-04-26,Customer_17,Smartphone,Electronics,2,25000,50000,Madurai,UPI
10036,2025-04-28,Customer_151,Books,Education,5,500,2500,Coimbatore,UPI
10037,2025-04-28,Customer_18,Smartphone,Electronics,1,25000,25000,Chennai,Card
10038,2025-05-02,Customer_72,Smartphone,Electronics,5,25000,125000,Erode,Net Banking
10039,2025-03-09,Customer_186,Keyboard,Accessories,5,1200,6000,Salem,Net Banking
10040,2025-07-28,Customer_49,Keyboard,Accessories,4,1200,4800,Chennai,UPI
10041,2025-08-05,Customer_106,T-Shirt,Fashion,3,700,2100,Trichy,UPI
